//
//	Scripted by THINH NGUYEN
//  File: Ceids.txt
//	Version: 1.0
//	Date: Mon Mar  5 16:31:37 2018
//
// This file is to configure all CEIDs. WARNING!!! DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
// This is a typical way to express an CEID.
//   ceid		is id of the ceid
//   name		is name of the ceid
//
// ceid		name
//
83951617 UIOAlarmDetected
100728833 SusceptorAlarmSS1Detected
100794369 SusceptorAlarmSS2Detected
100859905 SusceptorAlarmSS3Detected
100925441 SusceptorAlarmSS4Detected
117506049 WaferLiftAlarmWL1Detected
117571585 WaferLiftAlarmWL2Detected
117637121 WaferLiftAlarmWL3Detected
117702657 WaferLiftAlarmWL4Detected
134283265 ReactorBufferAlarmBF1Detected
134348801 ReactorBufferAlarmBF2Detected
134414337 ReactorBufferAlarmBF3Detected
134479873 ReactorBufferAlarmBF4Detected
151060481 CoolingStageAlarmCS1Detected
151126017 CoolingStageAlarmCS2Detected
167837953 ReactorAlarmRC1ABDetected
167838209 ReactorAlarmRC1HDDetected
167838465 ReactorAlarmRC1ALDetected
167838721 ReactorAlarmRC1SFDetected
167903489 ReactorAlarmRC2ABDetected
167903745 ReactorAlarmRC2HDDetected
167904001 ReactorAlarmRC2ALDetected
167904257 ReactorAlarmRC2SFDetected
167969025 ReactorAlarmRC3ABDetected
167969281 ReactorAlarmRC3HDDetected
167969537 ReactorAlarmRC3ALDetected
167969793 ReactorAlarmRC3SFDetected
168034561 ReactorAlarmRC4ABDetected
168034817 ReactorAlarmRC4HDDetected
168035073 ReactorAlarmRC4ALDetected
168035329 ReactorAlarmRC4SFDetected
168100097 Rev0.08-1Chg
168100353 Rev0.08-1Chg
168100609 Rev0.08-1Chg
168100865 Rev0.08-1Chg
184615169 ReactorAlarmRC1PMLimit1OverDetected
184615425 ReactorAlarmRC1PMLimit2OverDetected
184615681 ReactorAlarmRC1PMLimit3OverDetected
184615937 ReactorAlarmRC1PMLimit4OverDetected
184616193 ReactorAlarmRC1PMLimit5OverDetected
184616449 ReactorAlarmRC1PMLimit6OverDetected
184616705 ReactorAlarmRC1PMLimit7OverDetected
184616961 ReactorAlarmRC1PMLimit8OverDetected
184617217 ReactorAlarmRC1PMLimit9OverDetected
184617473 ReactorAlarmRC1PMLimit10OverDetected
184617729 ReactorAlarmRC1PMLimit11OverDetected
184617985 ReactorAlarmRC1PMLimit12OverDetected
184618241 ReactorAlarmRC1PMLimit13OverDetected
184618497 ReactorAlarmRC1PMLimit14OverDetected
184618753 ReactorAlarmRC1PMLimit15OverDetected
184619009 ReactorAlarmRC1PMLimit16OverDetected
