Got SoftRev: 1.78a2 
-> extractFromLog: S1F22 : Total : 2429 
VID : $05050b90 : 84216720 : ProcRCDataMeanAI9 :
VID : $05050ba0 : 84216736 : ProcRCDataMeanAI10 :
VID : $05050bb0 : 84216752 : ProcRCDataMeanAI11 :
VID : $05050bc0 : 84216768 : ProcRCDataMeanAI12 :
VID : $05050bd0 : 84216784 : ProcRCDataMeanAI13 :
VID : $05050be0 : 84216800 : ProcRCDataMeanAI14 :
VID : $05050bf0 : 84216816 : ProcRCDataMeanAI15 :
VID : $05050c00 : 84216832 : ProcRCDataMeanAI16 :
VID : $05050c10 : 84216848 : ProcRCDataMeanAI17 :
VID : $05050c20 : 84216864 : ProcRCDataMeanAI18 :
VID : $05050c30 : 84216880 : ProcRCDataMeanAI19 :
VID : $05050c40 : 84216896 : ProcRCDataMeanAI20 :
VID : $05050c50 : 84216912 : ProcRCDataMeanAI21 :
VID : $05050c60 : 84216928 : ProcRCDataMeanAI22 :
VID : $05050c70 : 84216944 : ProcRCDataMeanAI23 :
VID : $05050c80 : 84216960 : ProcRCDataMeanAI24 :
VID : $05050c90 : 84216976 : ProcRCDataMeanAI25 :
VID : $05050ca0 : 84216992 : ProcRCDataMeanAI26 :
VID : $05050cb0 : 84217008 : ProcRCDataMeanAI27 :
VID : $05050cc0 : 84217024 : ProcRCDataMeanAI28 :
VID : $05050cd0 : 84217040 : ProcRCDataMeanAI29 :
VID : $05050ce0 : 84217056 : ProcRCDataMeanAI30 :
VID : $05050cf0 : 84217072 : ProcRCDataMeanAI31 :
VID : $05050d00 : 84217088 : ProcRCDataMeanAI32 :
VID : $05050d10 : 84217104 : ProcRCDataMeanAI33 :
VID : $05050d20 : 84217120 : ProcRCDataMeanAI34 :
VID : $05050d30 : 84217136 : ProcRCDataMeanAI35 :
VID : $05050d40 : 84217152 : ProcRCDataMeanAI36 :
VID : $05050d50 : 84217168 : ProcRCDataMeanAI37 :
VID : $05050d60 : 84217184 : ProcRCDataMeanAI38 :
VID : $05050d70 : 84217200 : ProcRCDataMeanAI39 :
VID : $05050d80 : 84217216 : ProcRCDataMeanAI40 :
VID : $05050d90 : 84217232 : ProcRCDataMeanAI41 :
VID : $05050da0 : 84217248 : ProcRCDataMeanAI42 :
VID : $05050db0 : 84217264 : ProcRCDataMeanAI43 :
VID : $05050dc0 : 84217280 : ProcRCDataMeanAI44 :
VID : $05050dd0 : 84217296 : ProcRCDataMeanAI45 :
VID : $05050de0 : 84217312 : ProcRCDataMeanAI46 :
VID : $05050df0 : 84217328 : ProcRCDataMeanAI47 :
VID : $05050e00 : 84217344 : ProcRCDataMeanAI48 :
VID : $05050e10 : 84217360 : ProcRCDataMeanAI49 :
VID : $05050e20 : 84217376 : ProcRCDataMeanAI50 :
VID : $05050e30 : 84217392 : ProcRCDataMeanAI51 :
VID : $05050e40 : 84217408 : ProcRCDataMeanAI52 :
VID : $05050e50 : 84217424 : ProcRCDataMeanAI53 :
VID : $05050e60 : 84217440 : ProcRCDataMeanAI54 :
VID : $05050e70 : 84217456 : ProcRCDataMeanAI55 :
VID : $05050e80 : 84217472 : ProcRCDataMeanAI56 :
VID : $05050e90 : 84217488 : ProcRCDataMeanAI57 :
VID : $05050ea0 : 84217504 : ProcRCDataMeanAI58 :
VID : $05050eb0 : 84217520 : ProcRCDataMeanAI59 :
VID : $05050ec0 : 84217536 : ProcRCDataMeanAI60 :
VID : $05050ed0 : 84217552 : ProcRCDataMeanAI61 :
VID : $05050ee0 : 84217568 : ProcRCDataMeanAI62 :
VID : $05050ef0 : 84217584 : ProcRCDataMeanAI63 :
VID : $05050f00 : 84217600 : ProcRCDataMeanTI0 :
VID : $05050f10 : 84217616 : ProcRCDataMeanTI1 :
VID : $05050f20 : 84217632 : ProcRCDataMeanTI2 :
VID : $05050f30 : 84217648 : ProcRCDataMeanTI3 :
VID : $05050f40 : 84217664 : ProcRCDataMeanTI4 :
VID : $05050f50 : 84217680 : ProcRCDataMeanTI5 :
VID : $05050f60 : 84217696 : ProcRCDataMeanTI6 :
VID : $05050f70 : 84217712 : ProcRCDataMeanTI7 :
VID : $05050f80 : 84217728 : ProcRCDataMeanTI8 :
VID : $05050f90 : 84217744 : ProcRCDataMeanTI9 :
VID : $05050fa0 : 84217760 : ProcRCDataMeanTI10 :
VID : $05050fb0 : 84217776 : ProcRCDataMeanTI11 :
VID : $05050fc0 : 84217792 : ProcRCDataMeanTI12 :
VID : $05050fd0 : 84217808 : ProcRCDataMeanTI13 :
VID : $05050fe0 : 84217824 : ProcRCDataMeanTI14 :
VID : $05050ff0 : 84217840 : ProcRCDataMeanTI15 :
VID : $05051000 : 84217856 : ProcRCDataMeanTI16 :
VID : $05051010 : 84217872 : ProcRCDataMeanTI17 :
VID : $05051020 : 84217888 : ProcRCDataMeanTI18 :
VID : $05051030 : 84217904 : ProcRCDataMeanTI19 :
VID : $05051040 : 84217920 : ProcRCDataMeanTI20 :
VID : $05051050 : 84217936 : ProcRCDataMeanTI21 :
VID : $05051060 : 84217952 : ProcRCDataMeanTI22 :
VID : $05051070 : 84217968 : ProcRCDataMeanTI23 :
VID : $05051080 : 84217984 : ProcRCDataMeanTI24 :
VID : $05051090 : 84218000 : ProcRCDataMeanTI25 :
VID : $050510a0 : 84218016 : ProcRCDataMeanTI26 :
VID : $050510b0 : 84218032 : ProcRCDataMeanTI27 :
VID : $050510c0 : 84218048 : ProcRCDataMeanTI28 :
VID : $050510d0 : 84218064 : ProcRCDataMeanTI29 :
VID : $050510e0 : 84218080 : ProcRCDataMeanTI30 :
VID : $050510f0 : 84218096 : ProcRCDataMeanTI31 :
VID : $05051100 : 84218112 : ProcRCDataMinAI0 :
VID : $05051110 : 84218128 : ProcRCDataMinAI1 :
VID : $05051120 : 84218144 : ProcRCDataMinAI2 :
VID : $05051130 : 84218160 : ProcRCDataMinAI3 :
VID : $05051140 : 84218176 : ProcRCDataMinAI4 :
VID : $05051150 : 84218192 : ProcRCDataMinAI5 :
VID : $05051160 : 84218208 : ProcRCDataMinAI6 :
VID : $05051170 : 84218224 : ProcRCDataMinAI7 :
VID : $05051180 : 84218240 : ProcRCDataMinAI8 :
VID : $05051190 : 84218256 : ProcRCDataMinAI9 :
VID : $050511a0 : 84218272 : ProcRCDataMinAI10 :
VID : $050511b0 : 84218288 : ProcRCDataMinAI11 :
VID : $050511c0 : 84218304 : ProcRCDataMinAI12 :
VID : $050511d0 : 84218320 : ProcRCDataMinAI13 :
VID : $050511e0 : 84218336 : ProcRCDataMinAI14 :
VID : $050511f0 : 84218352 : ProcRCDataMinAI15 :
VID : $05051200 : 84218368 : ProcRCDataMinAI16 :
VID : $05051210 : 84218384 : ProcRCDataMinAI17 :
VID : $05051220 : 84218400 : ProcRCDataMinAI18 :
VID : $05051230 : 84218416 : ProcRCDataMinAI19 :
VID : $05051240 : 84218432 : ProcRCDataMinAI20 :
VID : $05051250 : 84218448 : ProcRCDataMinAI21 :
VID : $05051260 : 84218464 : ProcRCDataMinAI22 :
VID : $05051270 : 84218480 : ProcRCDataMinAI23 :
VID : $05051280 : 84218496 : ProcRCDataMinAI24 :
VID : $05051290 : 84218512 : ProcRCDataMinAI25 :
VID : $050512a0 : 84218528 : ProcRCDataMinAI26 :
VID : $050512b0 : 84218544 : ProcRCDataMinAI27 :
VID : $050512c0 : 84218560 : ProcRCDataMinAI28 :
VID : $050512d0 : 84218576 : ProcRCDataMinAI29 :
VID : $050512e0 : 84218592 : ProcRCDataMinAI30 :
VID : $050512f0 : 84218608 : ProcRCDataMinAI31 :
VID : $05051300 : 84218624 : ProcRCDataMinAI32 :
VID : $05051310 : 84218640 : ProcRCDataMinAI33 :
VID : $05051320 : 84218656 : ProcRCDataMinAI34 :
VID : $05051330 : 84218672 : ProcRCDataMinAI35 :
VID : $05051340 : 84218688 : ProcRCDataMinAI36 :
VID : $05051350 : 84218704 : ProcRCDataMinAI37 :
VID : $05051360 : 84218720 : ProcRCDataMinAI38 :
VID : $05051370 : 84218736 : ProcRCDataMinAI39 :
VID : $05051380 : 84218752 : ProcRCDataMinAI40 :
VID : $05051390 : 84218768 : ProcRCDataMinAI41 :
VID : $050513a0 : 84218784 : ProcRCDataMinAI42 :
VID : $050513b0 : 84218800 : ProcRCDataMinAI43 :
VID : $050513c0 : 84218816 : ProcRCDataMinAI44 :
VID : $050513d0 : 84218832 : ProcRCDataMinAI45 :
VID : $050513e0 : 84218848 : ProcRCDataMinAI46 :
VID : $050513f0 : 84218864 : ProcRCDataMinAI47 :
VID : $05051400 : 84218880 : ProcRCDataMinAI48 :
VID : $05051410 : 84218896 : ProcRCDataMinAI49 :
VID : $05051420 : 84218912 : ProcRCDataMinAI50 :
VID : $05051430 : 84218928 : ProcRCDataMinAI51 :
VID : $05051440 : 84218944 : ProcRCDataMinAI52 :
VID : $05051450 : 84218960 : ProcRCDataMinAI53 :
VID : $05051460 : 84218976 : ProcRCDataMinAI54 :
VID : $05051470 : 84218992 : ProcRCDataMinAI55 :
VID : $05051480 : 84219008 : ProcRCDataMinAI56 :
VID : $05051490 : 84219024 : ProcRCDataMinAI57 :
VID : $050514a0 : 84219040 : ProcRCDataMinAI58 :
VID : $050514b0 : 84219056 : ProcRCDataMinAI59 :
VID : $050514c0 : 84219072 : ProcRCDataMinAI60 :
VID : $050514d0 : 84219088 : ProcRCDataMinAI61 :
VID : $050514e0 : 84219104 : ProcRCDataMinAI62 :
VID : $050514f0 : 84219120 : ProcRCDataMinAI63 :
VID : $05051500 : 84219136 : ProcRCDataMinTI0 :
VID : $05051510 : 84219152 : ProcRCDataMinTI1 :
VID : $05051520 : 84219168 : ProcRCDataMinTI2 :
VID : $05051530 : 84219184 : ProcRCDataMinTI3 :
VID : $05051540 : 84219200 : ProcRCDataMinTI4 :
VID : $05051550 : 84219216 : ProcRCDataMinTI5 :
VID : $05051560 : 84219232 : ProcRCDataMinTI6 :
VID : $05051570 : 84219248 : ProcRCDataMinTI7 :
VID : $05051580 : 84219264 : ProcRCDataMinTI8 :
VID : $05051590 : 84219280 : ProcRCDataMinTI9 :
VID : $050515a0 : 84219296 : ProcRCDataMinTI10 :
VID : $050515b0 : 84219312 : ProcRCDataMinTI11 :
VID : $050515c0 : 84219328 : ProcRCDataMinTI12 :
VID : $050515d0 : 84219344 : ProcRCDataMinTI13 :
VID : $050515e0 : 84219360 : ProcRCDataMinTI14 :
VID : $050515f0 : 84219376 : ProcRCDataMinTI15 :
VID : $05051600 : 84219392 : ProcRCDataMinTI16 :
VID : $05051610 : 84219408 : ProcRCDataMinTI17 :
VID : $05051620 : 84219424 : ProcRCDataMinTI18 :
VID : $05051630 : 84219440 : ProcRCDataMinTI19 :
VID : $05051640 : 84219456 : ProcRCDataMinTI20 :
VID : $05051650 : 84219472 : ProcRCDataMinTI21 :
VID : $05051660 : 84219488 : ProcRCDataMinTI22 :
VID : $05051670 : 84219504 : ProcRCDataMinTI23 :
VID : $05051680 : 84219520 : ProcRCDataMinTI24 :
VID : $05051690 : 84219536 : ProcRCDataMinTI25 :
VID : $050516a0 : 84219552 : ProcRCDataMinTI26 :
VID : $050516b0 : 84219568 : ProcRCDataMinTI27 :
VID : $050516c0 : 84219584 : ProcRCDataMinTI28 :
VID : $050516d0 : 84219600 : ProcRCDataMinTI29 :
VID : $050516e0 : 84219616 : ProcRCDataMinTI30 :
VID : $050516f0 : 84219632 : ProcRCDataMinTI31 :
VID : $05051700 : 84219648 : ProcRCDataSetAI0 :
VID : $05051710 : 84219664 : ProcRCDataSetAI1 :
VID : $05051720 : 84219680 : ProcRCDataSetAI2 :
VID : $05051730 : 84219696 : ProcRCDataSetAI3 :
VID : $05051740 : 84219712 : ProcRCDataSetAI4 :
VID : $05051750 : 84219728 : ProcRCDataSetAI5 :
VID : $05051760 : 84219744 : ProcRCDataSetAI6 :
VID : $05051770 : 84219760 : ProcRCDataSetAI7 :
VID : $05051780 : 84219776 : ProcRCDataSetAI8 :
VID : $05051790 : 84219792 : ProcRCDataSetAI9 :
VID : $050517a0 : 84219808 : ProcRCDataSetAI10 :
VID : $050517b0 : 84219824 : ProcRCDataSetAI11 :
VID : $050517c0 : 84219840 : ProcRCDataSetAI12 :
VID : $050517d0 : 84219856 : ProcRCDataSetAI13 :
VID : $050517e0 : 84219872 : ProcRCDataSetAI14 :
VID : $050517f0 : 84219888 : ProcRCDataSetAI15 :
VID : $05051800 : 84219904 : ProcRCDataSetAI16 :
VID : $05051810 : 84219920 : ProcRCDataSetAI17 :
VID : $05051820 : 84219936 : ProcRCDataSetAI18 :
VID : $05051830 : 84219952 : ProcRCDataSetAI19 :
VID : $05051840 : 84219968 : ProcRCDataSetAI20 :
VID : $05051850 : 84219984 : ProcRCDataSetAI21 :
VID : $05051860 : 84220000 : ProcRCDataSetAI22 :
VID : $05051870 : 84220016 : ProcRCDataSetAI23 :
VID : $05051880 : 84220032 : ProcRCDataSetAI24 :
VID : $05051890 : 84220048 : ProcRCDataSetAI25 :
VID : $050518a0 : 84220064 : ProcRCDataSetAI26 :
VID : $050518b0 : 84220080 : ProcRCDataSetAI27 :
VID : $050518c0 : 84220096 : ProcRCDataSetAI28 :
VID : $050518d0 : 84220112 : ProcRCDataSetAI29 :
VID : $050518e0 : 84220128 : ProcRCDataSetAI30 :
VID : $050518f0 : 84220144 : ProcRCDataSetAI31 :
VID : $05051900 : 84220160 : ProcRCDataSetAI32 :
VID : $05051910 : 84220176 : ProcRCDataSetAI33 :
VID : $05051920 : 84220192 : ProcRCDataSetAI34 :
VID : $05051930 : 84220208 : ProcRCDataSetAI35 :
VID : $05051940 : 84220224 : ProcRCDataSetAI36 :
VID : $05051950 : 84220240 : ProcRCDataSetAI37 :
VID : $05051960 : 84220256 : ProcRCDataSetAI38 :
VID : $05051970 : 84220272 : ProcRCDataSetAI39 :
VID : $05051980 : 84220288 : ProcRCDataSetAI40 :
VID : $05051990 : 84220304 : ProcRCDataSetAI41 :
VID : $050519a0 : 84220320 : ProcRCDataSetAI42 :
VID : $050519b0 : 84220336 : ProcRCDataSetAI43 :
VID : $050519c0 : 84220352 : ProcRCDataSetAI44 :
VID : $050519d0 : 84220368 : ProcRCDataSetAI45 :
VID : $050519e0 : 84220384 : ProcRCDataSetAI46 :
VID : $050519f0 : 84220400 : ProcRCDataSetAI47 :
VID : $05051a00 : 84220416 : ProcRCDataSetAI48 :
VID : $05051a10 : 84220432 : ProcRCDataSetAI49 :
VID : $05051a20 : 84220448 : ProcRCDataSetAI50 :
VID : $05051a30 : 84220464 : ProcRCDataSetAI51 :
VID : $05051a40 : 84220480 : ProcRCDataSetAI52 :
VID : $05051a50 : 84220496 : ProcRCDataSetAI53 :
VID : $05051a60 : 84220512 : ProcRCDataSetAI54 :
VID : $05051a70 : 84220528 : ProcRCDataSetAI55 :
VID : $05051a80 : 84220544 : ProcRCDataSetAI56 :
VID : $05051a90 : 84220560 : ProcRCDataSetAI57 :
VID : $05051aa0 : 84220576 : ProcRCDataSetAI58 :
VID : $05051ab0 : 84220592 : ProcRCDataSetAI59 :
VID : $05051ac0 : 84220608 : ProcRCDataSetAI60 :
VID : $05051ad0 : 84220624 : ProcRCDataSetAI61 :
VID : $05051ae0 : 84220640 : ProcRCDataSetAI62 :
VID : $05051af0 : 84220656 : ProcRCDataSetAI63 :
VID : $05051b00 : 84220672 : ProcRCDataSetTI0 :
VID : $05051b10 : 84220688 : ProcRCDataSetTI1 :
VID : $05051b20 : 84220704 : ProcRCDataSetTI2 :
VID : $05051b30 : 84220720 : ProcRCDataSetTI3 :
VID : $05051b40 : 84220736 : ProcRCDataSetTI4 :
VID : $05051b50 : 84220752 : ProcRCDataSetTI5 :
VID : $05051b60 : 84220768 : ProcRCDataSetTI6 :
VID : $05051b70 : 84220784 : ProcRCDataSetTI7 :
VID : $05051b80 : 84220800 : ProcRCDataSetTI8 :
VID : $05051b90 : 84220816 : ProcRCDataSetTI9 :
VID : $05051ba0 : 84220832 : ProcRCDataSetTI10 :
VID : $05051bb0 : 84220848 : ProcRCDataSetTI11 :
VID : $05051bc0 : 84220864 : ProcRCDataSetTI12 :
VID : $05051bd0 : 84220880 : ProcRCDataSetTI13 :
VID : $05051be0 : 84220896 : ProcRCDataSetTI14 :
VID : $05051bf0 : 84220912 : ProcRCDataSetTI15 :
VID : $05051c00 : 84220928 : ProcRCDataSetTI16 :
VID : $05051c10 : 84220944 : ProcRCDataSetTI17 :
VID : $05051c20 : 84220960 : ProcRCDataSetTI18 :
VID : $05051c30 : 84220976 : ProcRCDataSetTI19 :
VID : $05051c40 : 84220992 : ProcRCDataSetTI20 :
VID : $05051c50 : 84221008 : ProcRCDataSetTI21 :
VID : $05051c60 : 84221024 : ProcRCDataSetTI22 :
VID : $05051c70 : 84221040 : ProcRCDataSetTI23 :
VID : $05051c80 : 84221056 : ProcRCDataSetTI24 :
VID : $05051c90 : 84221072 : ProcRCDataSetTI25 :
