///////////////////////////////////////////////////////////////
// Scripted by THINH NGUYEN
// File: VIDsOnlyFromEventXp.txt
// Version: 1.0
// Date: Sun Sep  1 00:02:21 2019
//
// This file is to configure all ECIDs, RPTIDs, VIDs. WARNING!!!
// DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
VID : $050505E0 : 84215264 : ProcRCDataMaxAI14 : 
VID : $050505F0 : 84215280 : ProcRCDataMaxAI15 : 
VID : $05050600 : 84215296 : ProcRCDataMaxAI16 : 
VID : $05050610 : 84215312 : ProcRCDataMaxAI17 : 
VID : $05050620 : 84215328 : ProcRCDataMaxAI18 : 
VID : $05050630 : 84215344 : ProcRCDataMaxAI19 : 
VID : $05050640 : 84215360 : ProcRCDataMaxAI20 : 
VID : $05050650 : 84215376 : ProcRCDataMaxAI21 : 
VID : $05050660 : 84215392 : ProcRCDataMaxAI22 : 
VID : $05050670 : 84215408 : ProcRCDataMaxAI23 : 
VID : $05050680 : 84215424 : ProcRCDataMaxAI24 : 
VID : $05050690 : 84215440 : ProcRCDataMaxAI25 : 
VID : $050506A0 : 84215456 : ProcRCDataMaxAI26 : 
VID : $050506B0 : 84215472 : ProcRCDataMaxAI27 : 
VID : $050506C0 : 84215488 : ProcRCDataMaxAI28 : 
VID : $050506D0 : 84215504 : ProcRCDataMaxAI29 : 
VID : $050506E0 : 84215520 : ProcRCDataMaxAI30 : 
VID : $050506F0 : 84215536 : ProcRCDataMaxAI31 : 
VID : $05050700 : 84215552 : ProcRCDataMaxAI32 : 
VID : $05050710 : 84215568 : ProcRCDataMaxAI33 : 
VID : $05050720 : 84215584 : ProcRCDataMaxAI34 : 
VID : $05050730 : 84215600 : ProcRCDataMaxAI35 : 
VID : $05050740 : 84215616 : ProcRCDataMaxAI36 : 
VID : $05050750 : 84215632 : ProcRCDataMaxAI37 : 
VID : $05050760 : 84215648 : ProcRCDataMaxAI38 : 
VID : $05050770 : 84215664 : ProcRCDataMaxAI39 : 
VID : $05050780 : 84215680 : ProcRCDataMaxAI40 : 
VID : $05050790 : 84215696 : ProcRCDataMaxAI41 : 
VID : $050507A0 : 84215712 : ProcRCDataMaxAI42 : 
VID : $050507B0 : 84215728 : ProcRCDataMaxAI43 : 
VID : $050507C0 : 84215744 : ProcRCDataMaxAI44 : 
VID : $050507D0 : 84215760 : ProcRCDataMaxAI45 : 
VID : $050507E0 : 84215776 : ProcRCDataMaxAI46 : 
VID : $050507F0 : 84215792 : ProcRCDataMaxAI47 : 
VID : $05050800 : 84215808 : ProcRCDataMaxAI48 : 
VID : $05050810 : 84215824 : ProcRCDataMaxAI49 : 
VID : $05050820 : 84215840 : ProcRCDataMaxAI50 : 
VID : $05050830 : 84215856 : ProcRCDataMaxAI51 : 
VID : $05050840 : 84215872 : ProcRCDataMaxAI52 : 
VID : $05050850 : 84215888 : ProcRCDataMaxAI53 : 
VID : $05050860 : 84215904 : ProcRCDataMaxAI54 : 
VID : $05050870 : 84215920 : ProcRCDataMaxAI55 : 
VID : $05050880 : 84215936 : ProcRCDataMaxAI56 : 
VID : $05050890 : 84215952 : ProcRCDataMaxAI57 : 
VID : $050508A0 : 84215968 : ProcRCDataMaxAI58 : 
