"8044","06/13","19:39:11","Recv","S6F12",Event Report Acknowledge
"8043","06/13","19:39:14","Send","S6F11",CEID:78051 WaferMovedFinishLP3FERbt
"8042","06/13","19:39:14","Recv","S6F12",Event Report Acknowledge
"8041","06/13","19:39:15","Send","S6F11",CEID:78065 WaferMovedStartFERbtLL1
"8040","06/13","19:39:15","Recv","S6F12",Event Report Acknowledge
"8039","06/13","19:39:15","Send","S6F11",CEID:114736 CJSMSCT-3(QUEUED->SELECTED)
"8038","06/13","19:39:15","Recv","S6F12",Event Report Acknowledge
"8037","06/13","19:39:15","Send","S6F11",CEID:110624 PJSMSCT-2(POOLED->SETTINGUP)
"8036","06/13","19:39:15","Recv","S6F12",Event Report Acknowledge
"8035","06/13","19:39:15","Send","S6F11",CEID:114768 CJSMSCT-5(SELECTED->EXECUTING)
"8034","06/13","19:39:15","Send","S6F11",CEID:110656 PJSMSCT-4(SETTINGUP->PROCESSING)
"8033","06/13","19:39:15","Recv","S6F12",Event Report Acknowledge
"8032","06/13","19:39:15","Recv","S6F12",Event Report Acknowledge
"8031","06/13","19:39:19","Send","S6F11",CEID:78081 WaferMovedFinishFERbtLL1
"8030","06/13","19:39:19","Recv","S6F12",Event Report Acknowledge
"8029","06/13","19:40:01","Send","S6F11","CEID:77939 RC3RecipeFinished (RC3 Finished in 00:07:08)"
"8028","06/13","19:40:01","Recv","S6F12",Event Report Acknowledge
"8027","06/13","19:40:01","Send","S6F11",CEID:78225 WaferMovedStartLL1BERbt
"8026","06/13","19:40:01","Recv","S6F12",Event Report Acknowledge
"8025","06/13","19:40:01","Send","S6F11",CEID:102448 DepositionRecipeFinished
"8024","06/13","19:40:01","Recv","S6F12",Event Report Acknowledge
"8023","06/13","19:40:06","Send","S6F11",CEID:78241 WaferMovedFinishLL1BERbt
"8022","06/13","19:40:06","Recv","S6F12",Event Report Acknowledge
"8021","06/13","19:40:11","Send","S6F11",CEID:78098 WaferMovedStartLL2FERbt
"8020","06/13","19:40:11","Recv","S6F12",Event Report Acknowledge
"8019","06/13","19:40:16","Send","S6F11",CEID:78114 WaferMovedFinishLL2FERbt
"8018","06/13","19:40:16","Recv","S6F12",Event Report Acknowledge
"8017","06/13","19:40:16","Send","S6F11",CEID:78195 WaferMovedStartFERbtLP3
"8016","06/13","19:40:16","Recv","S6F12",Event Report Acknowledge
"8015","06/13","19:40:20","Send","S6F11","CEID:78211 WaferMovedFinishFERbtLP3 (LP3 receiving a Wafer )"
"8014","06/13","19:40:20","Recv","S6F12",Event Report Acknowledge
"8013","06/13","19:40:21","Send","S6F11","CEID:78035 WaferMovedStartLP3FERbt (LP3 sending Wafer in )"
"8012","06/13","19:40:21","Recv","S6F12",Event Report Acknowledge
"8011","06/13","19:40:24","Send","S6F11",CEID:78051 WaferMovedFinishLP3FERbt
"8010","06/13","19:40:24","Recv","S6F12",Event Report Acknowledge
"8009","06/13","19:40:24","Send","S6F11",CEID:78066 WaferMovedStartFERbtLL2
"8008","06/13","19:40:24","Recv","S6F12",Event Report Acknowledge
"8007","06/13","19:40:28","Send","S6F11","CEID:78291 WaferMovedStartRC3BERbt (RC3 Finished Wafer in 00:07:59)"
"8006","06/13","19:40:28","Recv","S6F12",Event Report Acknowledge
"8005","06/13","19:40:28","Send","S6F11",CEID:78082 WaferMovedFinishFERbtLL2
"8004","06/13","19:40:28","Recv","S6F12",Event Report Acknowledge
"8003","06/13","19:40:35","Send","S6F11",CEID:78307 WaferMovedFinishRC3BERbt
"8002","06/13","19:40:35","Recv","S6F12",Event Report Acknowledge
"8001","06/13","19:40:35","Send","S6F11",CEID:78259 WaferMovedStartBERbtRC3
"8000","06/13","19:40:35","Recv","S6F12",Event Report Acknowledge
"7999","06/13","19:40:40","Send","S6F11","CEID:78275 WaferMovedFinishBERbtRC3 (RC3 Wafer Entered)"
"7998","06/13","19:40:40","Recv","S6F12",Event Report Acknowledge
"7997","06/13","19:40:40","Send","S6F11",CEID:78321 WaferMovedStartdBERbtLL1
"7996","06/13","19:40:40","Recv","S6F12",Event Report Acknowledge
"7995","06/13","19:40:46","Send","S6F11",CEID:78337 WaferMovedFinishdBERbtLL1
"7994","06/13","19:40:46","Recv","S6F12",Event Report Acknowledge
"7993","06/13","19:41:03","Send","S6F11","CEID:77923 RC3RecipeStarted (RC3 Started)"
"7992","06/13","19:41:03","Recv","S6F12",Event Report Acknowledge
"7991","06/13","19:41:03","Send","S6F11",CEID:102432 DepositionRecipeStarted
"7990","06/13","19:41:03","Recv","S6F12",Event Report Acknowledge
"7989","06/13","19:41:04","Send","S6F11","CEID:77940 RC4RecipeFinished (RC4 Finished in 00:07:09)"
"7988","06/13","19:41:04","Recv","S6F12",Event Report Acknowledge
"7987","06/13","19:41:04","Send","S6F11",CEID:78226 WaferMovedStartLL2BERbt
"7986","06/13","19:41:04","Recv","S6F12",Event Report Acknowledge
"7985","06/13","19:41:04","Send","S6F11",CEID:102448 DepositionRecipeFinished
"7984","06/13","19:41:04","Recv","S6F12",Event Report Acknowledge
"7983","06/13","19:41:09","Send","S6F11",CEID:78242 WaferMovedFinishLL2BERbt
"7982","06/13","19:41:10","Recv","S6F12",Event Report Acknowledge
"7981","06/13","19:41:32","Send","S6F11","CEID:78292 WaferMovedStartRC4BERbt (RC4 Finished Wafer in 00:08:00)"
"7980","06/13","19:41:32","Recv","S6F12",Event Report Acknowledge
