Got SoftRev: 1.78a2 
-> extractFromLog: S1F12 : Total : 15941 
VID : $02010064 : 33620068 : RC4LimitMaxMinAI4 :
VID : $02010074 : 33620084 : RC4LimitMaxMinAI5 :
VID : $02010084 : 33620100 : RC4LimitMaxMinAI6 :
VID : $02010094 : 33620116 : RC4LimitMaxMinAI7 :
VID : $020100a4 : 33620132 : RC4LimitMaxMinAI8 :
VID : $020100b4 : 33620148 : RC4LimitMaxMinAI9 :
VID : $020100c4 : 33620164 : RC4LimitMaxMinAI10 :
VID : $020100d4 : 33620180 : RC4LimitMaxMinAI11 :
VID : $020100e4 : 33620196 : RC4LimitMaxMinAI12 :
VID : $020100f4 : 33620212 : RC4LimitMaxMinAI13 :
VID : $02010104 : 33620228 : RC4LimitMaxMinAI14 :
VID : $02010114 : 33620244 : RC4LimitMaxMinAI15 :
VID : $02010124 : 33620260 : RC4LimitMaxMinAI16 :
VID : $02010134 : 33620276 : RC4LimitMaxMinAI17 :
VID : $02010144 : 33620292 : RC4LimitMaxMinAI18 :
VID : $02010154 : 33620308 : RC4LimitMaxMinAI19 :
VID : $02010164 : 33620324 : RC4LimitMaxMinAI20 :
VID : $02010174 : 33620340 : RC4LimitMaxMinAI21 :
VID : $02010184 : 33620356 : RC4LimitMaxMinAI22 :
VID : $02010194 : 33620372 : RC4LimitMaxMinAI23 :
VID : $020101a4 : 33620388 : RC4LimitMaxMinAI24 :
VID : $020101b4 : 33620404 : RC4LimitMaxMinAI25 :
VID : $020101c4 : 33620420 : RC4LimitMaxMinAI26 :
VID : $020101d4 : 33620436 : RC4LimitMaxMinAI27 :
VID : $020101e4 : 33620452 : RC4LimitMaxMinAI28 :
VID : $020101f4 : 33620468 : RC4LimitMaxMinAI29 :
VID : $02010204 : 33620484 : RC4LimitMaxMinAI30 :
VID : $02010214 : 33620500 : RC4LimitMaxMinAI31 :
VID : $02010224 : 33620516 : RC4LimitMaxMinAI32 :
VID : $02010234 : 33620532 : RC4LimitMaxMinAI33 :
VID : $02010244 : 33620548 : RC4LimitMaxMinAI34 :
VID : $02010254 : 33620564 : RC4LimitMaxMinAI35 :
VID : $02010264 : 33620580 : RC4LimitMaxMinAI36 :
VID : $02010274 : 33620596 : RC4LimitMaxMinAI37 :
VID : $02010284 : 33620612 : RC4LimitMaxMinAI38 :
VID : $02010294 : 33620628 : RC4LimitMaxMinAI39 :
VID : $020102a4 : 33620644 : RC4LimitMaxMinAI40 :
VID : $020102b4 : 33620660 : RC4LimitMaxMinAI41 :
VID : $020102c4 : 33620676 : RC4LimitMaxMinAI42 :
VID : $020102d4 : 33620692 : RC4LimitMaxMinAI43 :
VID : $020102e4 : 33620708 : RC4LimitMaxMinAI44 :
VID : $020102f4 : 33620724 : RC4LimitMaxMinAI45 :
VID : $02010304 : 33620740 : RC4LimitMaxMinAI46 :
VID : $02010314 : 33620756 : RC4LimitMaxMinAI47 :
VID : $02010324 : 33620772 : RC4LimitMaxMinAI48 :
VID : $02010334 : 33620788 : RC4LimitMaxMinAI49 :
VID : $02010344 : 33620804 : RC4LimitMaxMinAI50 :
VID : $02010354 : 33620820 : RC4LimitMaxMinAI51 :
VID : $02010364 : 33620836 : RC4LimitMaxMinAI52 :
VID : $02010374 : 33620852 : RC4LimitMaxMinAI53 :
VID : $02010384 : 33620868 : RC4LimitMaxMinAI54 :
VID : $02010394 : 33620884 : RC4LimitMaxMinAI55 :
VID : $020103a4 : 33620900 : RC4LimitMaxMinAI56 :
VID : $020103b4 : 33620916 : RC4LimitMaxMinAI57 :
VID : $020103c4 : 33620932 : RC4LimitMaxMinAI58 :
VID : $020103d4 : 33620948 : RC4LimitMaxMinAI59 :
VID : $020103e4 : 33620964 : RC4LimitMaxMinAI60 :
VID : $020103f4 : 33620980 : RC4LimitMaxMinAI61 :
VID : $02010404 : 33620996 : RC4LimitMaxMinAI62 :
VID : $02010414 : 33621012 : RC4LimitMaxMinAI63 :
VID : $02010421 : 33621025 : RC1LimitMaxMinTI0 :
VID : $02010431 : 33621041 : RC1LimitMaxMinTI1 :
VID : $02010441 : 33621057 : RC1LimitMaxMinTI2 :
VID : $02010451 : 33621073 : RC1LimitMaxMinTI3 :
VID : $02010461 : 33621089 : RC1LimitMaxMinTI4 :
VID : $02010471 : 33621105 : RC1LimitMaxMinTI5 :
VID : $02010481 : 33621121 : RC1LimitMaxMinTI6 :
VID : $02010491 : 33621137 : RC1LimitMaxMinTI7 :
VID : $020104a1 : 33621153 : RC1LimitMaxMinTI8 :
VID : $020104b1 : 33621169 : RC1LimitMaxMinTI9 :
VID : $020104c1 : 33621185 : RC1LimitMaxMinTI10 :
VID : $020104d1 : 33621201 : RC1LimitMaxMinTI11 :
VID : $020104e1 : 33621217 : RC1LimitMaxMinTI12 :
VID : $020104f1 : 33621233 : RC1LimitMaxMinTI13 :
VID : $02010501 : 33621249 : RC1LimitMaxMinTI14 :
VID : $02010511 : 33621265 : RC1LimitMaxMinTI15 :
VID : $02010521 : 33621281 : RC1LimitMaxMinTI16 :
VID : $02010531 : 33621297 : RC1LimitMaxMinTI17 :
VID : $02010541 : 33621313 : RC1LimitMaxMinTI18 :
VID : $02010551 : 33621329 : RC1LimitMaxMinTI19 :
VID : $02010561 : 33621345 : RC1LimitMaxMinTI20 :
VID : $02010571 : 33621361 : RC1LimitMaxMinTI21 :
VID : $02010581 : 33621377 : RC1LimitMaxMinTI22 :
VID : $02010591 : 33621393 : RC1LimitMaxMinTI23 :
VID : $020105a1 : 33621409 : RC1LimitMaxMinTI24 :
VID : $020105b1 : 33621425 : RC1LimitMaxMinTI25 :
VID : $020105c1 : 33621441 : RC1LimitMaxMinTI26 :
VID : $020105d1 : 33621457 : RC1LimitMaxMinTI27 :
VID : $020105e1 : 33621473 : RC1LimitMaxMinTI28 :
VID : $020105f1 : 33621489 : RC1LimitMaxMinTI29 :
VID : $02010601 : 33621505 : RC1LimitMaxMinTI30 :
VID : $02010611 : 33621521 : RC1LimitMaxMinTI31 :
VID : $02010422 : 33621026 : RC2LimitMaxMinTI0 :
VID : $02010432 : 33621042 : RC2LimitMaxMinTI1 :
VID : $02010442 : 33621058 : RC2LimitMaxMinTI2 :
VID : $02010452 : 33621074 : RC2LimitMaxMinTI3 :
VID : $02010462 : 33621090 : RC2LimitMaxMinTI4 :
VID : $02010472 : 33621106 : RC2LimitMaxMinTI5 :
VID : $02010482 : 33621122 : RC2LimitMaxMinTI6 :
VID : $02010492 : 33621138 : RC2LimitMaxMinTI7 :
VID : $020104a2 : 33621154 : RC2LimitMaxMinTI8 :
VID : $020104b2 : 33621170 : RC2LimitMaxMinTI9 :
VID : $020104c2 : 33621186 : RC2LimitMaxMinTI10 :
VID : $020104d2 : 33621202 : RC2LimitMaxMinTI11 :
VID : $020104e2 : 33621218 : RC2LimitMaxMinTI12 :
VID : $020104f2 : 33621234 : RC2LimitMaxMinTI13 :
VID : $02010502 : 33621250 : RC2LimitMaxMinTI14 :
VID : $02010512 : 33621266 : RC2LimitMaxMinTI15 :
VID : $02010522 : 33621282 : RC2LimitMaxMinTI16 :
VID : $02010532 : 33621298 : RC2LimitMaxMinTI17 :
VID : $02010542 : 33621314 : RC2LimitMaxMinTI18 :
VID : $02010552 : 33621330 : RC2LimitMaxMinTI19 :
VID : $02010562 : 33621346 : RC2LimitMaxMinTI20 :
VID : $02010572 : 33621362 : RC2LimitMaxMinTI21 :
VID : $02010582 : 33621378 : RC2LimitMaxMinTI22 :
VID : $02010592 : 33621394 : RC2LimitMaxMinTI23 :
VID : $020105a2 : 33621410 : RC2LimitMaxMinTI24 :
VID : $020105b2 : 33621426 : RC2LimitMaxMinTI25 :
VID : $020105c2 : 33621442 : RC2LimitMaxMinTI26 :
VID : $020105d2 : 33621458 : RC2LimitMaxMinTI27 :
VID : $020105e2 : 33621474 : RC2LimitMaxMinTI28 :
VID : $020105f2 : 33621490 : RC2LimitMaxMinTI29 :
VID : $02010602 : 33621506 : RC2LimitMaxMinTI30 :
VID : $02010612 : 33621522 : RC2LimitMaxMinTI31 :
VID : $02010423 : 33621027 : RC3LimitMaxMinTI0 :
VID : $02010433 : 33621043 : RC3LimitMaxMinTI1 :
VID : $02010443 : 33621059 : RC3LimitMaxMinTI2 :
VID : $02010453 : 33621075 : RC3LimitMaxMinTI3 :
VID : $02010463 : 33621091 : RC3LimitMaxMinTI4 :
VID : $02010473 : 33621107 : RC3LimitMaxMinTI5 :
VID : $02010483 : 33621123 : RC3LimitMaxMinTI6 :
VID : $02010493 : 33621139 : RC3LimitMaxMinTI7 :
VID : $020104a3 : 33621155 : RC3LimitMaxMinTI8 :
VID : $020104b3 : 33621171 : RC3LimitMaxMinTI9 :
VID : $020104c3 : 33621187 : RC3LimitMaxMinTI10 :
VID : $020104d3 : 33621203 : RC3LimitMaxMinTI11 :
VID : $020104e3 : 33621219 : RC3LimitMaxMinTI12 :
VID : $020104f3 : 33621235 : RC3LimitMaxMinTI13 :
VID : $02010503 : 33621251 : RC3LimitMaxMinTI14 :
VID : $02010513 : 33621267 : RC3LimitMaxMinTI15 :
VID : $02010523 : 33621283 : RC3LimitMaxMinTI16 :
VID : $02010533 : 33621299 : RC3LimitMaxMinTI17 :
VID : $02010543 : 33621315 : RC3LimitMaxMinTI18 :
VID : $02010553 : 33621331 : RC3LimitMaxMinTI19 :
VID : $02010563 : 33621347 : RC3LimitMaxMinTI20 :
VID : $02010573 : 33621363 : RC3LimitMaxMinTI21 :
VID : $02010583 : 33621379 : RC3LimitMaxMinTI22 :
VID : $02010593 : 33621395 : RC3LimitMaxMinTI23 :
VID : $020105a3 : 33621411 : RC3LimitMaxMinTI24 :
VID : $020105b3 : 33621427 : RC3LimitMaxMinTI25 :
VID : $020105c3 : 33621443 : RC3LimitMaxMinTI26 :
VID : $020105d3 : 33621459 : RC3LimitMaxMinTI27 :
VID : $020105e3 : 33621475 : RC3LimitMaxMinTI28 :
VID : $020105f3 : 33621491 : RC3LimitMaxMinTI29 :
VID : $02010603 : 33621507 : RC3LimitMaxMinTI30 :
VID : $02010613 : 33621523 : RC3LimitMaxMinTI31 :
VID : $02010424 : 33621028 : RC4LimitMaxMinTI0 :
VID : $02010434 : 33621044 : RC4LimitMaxMinTI1 :
VID : $02010444 : 33621060 : RC4LimitMaxMinTI2 :
VID : $02010454 : 33621076 : RC4LimitMaxMinTI3 :
VID : $02010464 : 33621092 : RC4LimitMaxMinTI4 :
VID : $02010474 : 33621108 : RC4LimitMaxMinTI5 :
VID : $02010484 : 33621124 : RC4LimitMaxMinTI6 :
VID : $02010494 : 33621140 : RC4LimitMaxMinTI7 :
VID : $020104a4 : 33621156 : RC4LimitMaxMinTI8 :
VID : $020104b4 : 33621172 : RC4LimitMaxMinTI9 :
VID : $020104c4 : 33621188 : RC4LimitMaxMinTI10 :
VID : $020104d4 : 33621204 : RC4LimitMaxMinTI11 :
VID : $020104e4 : 33621220 : RC4LimitMaxMinTI12 :
VID : $020104f4 : 33621236 : RC4LimitMaxMinTI13 :
VID : $02010504 : 33621252 : RC4LimitMaxMinTI14 :
VID : $02010514 : 33621268 : RC4LimitMaxMinTI15 :
VID : $02010524 : 33621284 : RC4LimitMaxMinTI16 :
VID : $02010534 : 33621300 : RC4LimitMaxMinTI17 :
VID : $02010544 : 33621316 : RC4LimitMaxMinTI18 :
VID : $02010554 : 33621332 : RC4LimitMaxMinTI19 :
VID : $02010564 : 33621348 : RC4LimitMaxMinTI20 :
VID : $02010574 : 33621364 : RC4LimitMaxMinTI21 :
VID : $02010584 : 33621380 : RC4LimitMaxMinTI22 :
VID : $02010594 : 33621396 : RC4LimitMaxMinTI23 :
VID : $020105a4 : 33621412 : RC4LimitMaxMinTI24 :
VID : $020105b4 : 33621428 : RC4LimitMaxMinTI25 :
VID : $020105c4 : 33621444 : RC4LimitMaxMinTI26 :
VID : $020105d4 : 33621460 : RC4LimitMaxMinTI27 :
VID : $020105e4 : 33621476 : RC4LimitMaxMinTI28 :
VID : $020105f4 : 33621492 : RC4LimitMaxMinTI29 :
VID : $02010604 : 33621508 : RC4LimitMaxMinTI30 :
VID : $02010614 : 33621524 : RC4LimitMaxMinTI31 :
VID : $02010621 : 33621537 : RC1LimitMaxMinDI0 :
VID : $02010631 : 33621553 : RC1LimitMaxMinDI1 :
VID : $02010641 : 33621569 : RC1LimitMaxMinDI2 :
VID : $02010651 : 33621585 : RC1LimitMaxMinDI3 :
VID : $02010661 : 33621601 : RC1LimitMaxMinDI4 :
VID : $02010671 : 33621617 : RC1LimitMaxMinDI5 :
VID : $02010681 : 33621633 : RC1LimitMaxMinDI6 :
VID : $02010691 : 33621649 : RC1LimitMaxMinDI7 :
VID : $020106a1 : 33621665 : RC1LimitMaxMinDI8 :
VID : $020106b1 : 33621681 : RC1LimitMaxMinDI9 :
VID : $020106c1 : 33621697 : RC1LimitMaxMinDI10 :
VID : $020106d1 : 33621713 : RC1LimitMaxMinDI11 :
VID : $020106e1 : 33621729 : RC1LimitMaxMinDI12 :
VID : $020106f1 : 33621745 : RC1LimitMaxMinDI13 :
VID : $02010701 : 33621761 : RC1LimitMaxMinDI14 :
VID : $02010711 : 33621777 : RC1LimitMaxMinDI15 :
VID : $02010721 : 33621793 : RC1LimitMaxMinDI16 :
VID : $02010731 : 33621809 : RC1LimitMaxMinDI17 :
VID : $02010741 : 33621825 : RC1LimitMaxMinDI18 :
VID : $02010751 : 33621841 : RC1LimitMaxMinDI19 :
VID : $02010761 : 33621857 : RC1LimitMaxMinDI20 :
VID : $02010771 : 33621873 : RC1LimitMaxMinDI21 :
VID : $02010781 : 33621889 : RC1LimitMaxMinDI22 :
VID : $02010791 : 33621905 : RC1LimitMaxMinDI23 :
VID : $020107a1 : 33621921 : RC1LimitMaxMinDI24 :
VID : $020107b1 : 33621937 : RC1LimitMaxMinDI25 :
VID : $020107c1 : 33621953 : RC1LimitMaxMinDI26 :
VID : $020107d1 : 33621969 : RC1LimitMaxMinDI27 :
VID : $020107e1 : 33621985 : RC1LimitMaxMinDI28 :
VID : $020107f1 : 33622001 : RC1LimitMaxMinDI29 :
